City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Sikonge,TZ,2021-12-01 23:49:49,-5.6333,32.7667,69.04,63,74,3.71
156,Akureyri,IS,2021-12-01 23:49:50,65.6835,-18.0878,19.33,79,0,5.75
157,Canutama,BR,2021-12-01 23:49:50,-6.5339,-64.3831,75.31,96,100,1.01
158,Luwuk,ID,2021-12-01 23:49:50,-0.9516,122.7875,79.77,83,100,5.14
159,Esperance,AU,2021-12-01 23:49:51,-33.8667,121.9,64.24,62,16,9.17
160,Bethel,US,2021-12-01 23:49:51,41.3712,-73.414,40.82,73,1,4.61
161,Blenheim,NZ,2021-12-01 23:49:51,-41.516,173.9528,70.52,63,100,4.0
162,Alexandria,EG,2021-12-01 23:49:41,31.2156,29.9553,65.91,52,93,13.91
163,Katangli,RU,2021-12-01 23:47:33,51.7102,143.2326,22.32,84,100,36.39
164,Sao Geraldo Do Araguaia,BR,2021-12-01 23:49:52,-6.4006,-48.555,76.98,85,94,2.15
165,Anito,PH,2021-12-01 23:49:52,12.4497,125.2886,79.3,90,100,13.27
166,Mehamn,NO,2021-12-01 23:49:52,71.0357,27.8492,33.42,63,100,27.72
167,Isla Vista,US,2021-12-01 23:48:50,34.4133,-119.861,86.36,72,75,5.75
168,Honiara,SB,2021-12-01 23:49:53,-9.4333,159.95,86.59,68,92,2.66
169,Cape Town,ZA,2021-12-01 23:45:05,-33.9258,18.4232,61.27,64,20,11.5
170,Yondo,CO,2021-12-01 23:49:53,7.0062,-73.9097,81.09,83,20,2.3
171,Pangkalanbuun,ID,2021-12-01 23:49:54,-2.6833,111.6167,78.37,84,97,2.86
172,Hovd,MN,2021-12-01 23:49:54,48.0056,91.6419,14.99,62,0,1.81
173,Saint-Augustin,CA,2021-12-01 23:46:52,51.226,-58.6502,14.2,92,73,2.73
174,Pauini,BR,2021-12-01 23:49:54,-7.7136,-66.9764,74.26,99,83,2.84
175,Esso,RU,2021-12-01 23:49:55,55.9333,158.7,22.3,96,100,9.06
176,Tshikapa,CD,2021-12-01 23:49:55,-6.4167,20.8,68.43,98,84,1.83
177,New Norfolk,AU,2021-12-01 23:49:55,-42.7826,147.0587,87.66,25,20,3.13
178,Tetange,LU,2021-12-01 23:49:56,49.4758,6.0422,42.39,95,96,12.82
179,Hasaki,JP,2021-12-01 23:49:56,35.7333,140.8333,48.6,38,4,21.94
